,Melissa Chen,Michael Rice,Karen Edwards,Philip Sims,Linda Gomez,Jason Mccall,Earl Carney,Isaac Shaw,Kathleen Duncan,Melissa Gray,Eric Vargas,William Berger PhD,Dylan Wall,Benjamin Carpenter,Jessica Ramirez,Kelly Collins,Robert Gill,Rachel Duran,Lindsey Sanders,Barry Vaughn,Jamie Key,James Harper,Shaun Holmes,Eric Wallace,John Stuart,Roy Vasquez,Alexandra Christensen,Samuel Roberson,Emily Benitez,Thomas Ruiz,Justin Johnson,Jessica Oconnor,Brooke Franklin,Matthew Gill,Sean Boone,Kyle Murray,Sharon Smith,Andrea Cole
Eric Vargas,0.33283582,0.62059623,0.32266483,0.55939853,0.13263035,0.23476806,0.6363636,0.16746123,0.47706556,0.5,0.0,0.17190465,0.4351724,0.4353617,0.23646273,0.35604396,0.17190465,0.1512774,0.17105286,0.33283582,0.2512088,0.3566367,0.6974359,0.086193286,0.4351724,0.07575758,0.093227334,0.23298953,0.23476806,0.35928515,0.12327252,0.18621701,0.35604396,0.33824176,0.15227821,0.1688614,0.16545965,0.56666666
William Berger PhD,0.6277357,0.41777614,0.6277357,0.37657878,0.25802875,0.5076346,0.21965776,0.36209828,0.29882598,0.24208635,0.34517652,0.0,0.59749854,0.29307902,0.8768956,0.69267386,0.92261904,0.29430604,0.604347,0.19558181,0.48871988,0.22339135,0.2603067,0.18637411,0.59749854,0.18771383,0.20158371,0.5037889,0.5076346,0.13409737,0.15117882,0.0901612,0.69267386,0.65804017,0.15789755,0.36512586,0.32189724,0.31042144
Dylan Wall,0.31369945,0.44398686,0.31369945,0.4002048,0.17861854,0.5394829,0.367629,0.3848158,0.31757393,0.28885135,0.5777027,0.1911739,0.0,0.3114664,0.23282598,0.28531864,0.1911739,0.12122733,0.39306918,0.19228016,0.20130815,0.23740663,0.40291062,0.19806698,1.0,0.12208967,0.21423079,0.5353959,0.5394829,0.20756002,0.07121487,0.10757807,0.28531864,0.2710527,0.10136886,0.38803336,0.1325924,0.32989687
Benjamin Carpenter,0.40891257,0.41498044,0.33519036,0.95555556,0.10623775,0.15009123,0.25928542,0.2043982,0.2968263,0.6142857,0.40744853,0.13769673,0.17731036,0.0,0.18940815,0.28519347,0.13769673,0.12117414,0.1689163,0.40891257,0.20121984,0.22189647,0.28416923,0.10520496,0.17731036,0.09307359,0.11379051,0.2843801,0.20610723,0.1463902,0.1514491,0.2287809,0.28519347,0.2709338,0.09474627,0.20610723,0.13253422,0.4423904
Jessica Ramirez,0.7158614,0.47642627,0.7158614,0.42944533,0.2942525,0.5788996,0.25049478,0.41293195,0.34077713,0.276072,0.39363468,0.72698414,0.6813793,0.33422336,0.0,0.789916,0.72698414,0.33562267,0.6891892,0.22303888,0.5573296,0.2547525,0.2968502,0.21253853,0.6813793,0.21406634,0.22988333,0.57451403,0.5788996,0.15292282,0.17240229,0.10281861,0.789916,0.75042015,0.18006425,0.41638458,0.3670873,0.35400042
Kelly Collins,0.90625,0.3573477,0.90625,0.32210925,0.37251115,0.38446993,0.16636339,0.30972323,0.25560287,0.20707023,0.2614282,0.48281863,0.45253068,0.25068718,0.66413915,0.0,0.48281863,0.42488402,0.45771754,0.28235772,0.70555556,0.19107933,0.33076924,0.15941638,0.45253068,0.14216985,0.17242602,0.4309193,0.38446993,0.17039627,0.21825397,0.07712,1.0,0.95,0.22795366,0.31231293,0.46471688,0.26875
Robert Gill,0.6277357,0.41777614,0.6277357,0.37657878,0.25802875,0.5076346,0.21965776,0.36209828,0.29882598,0.24208635,0.34517652,1.0,0.59749854,0.29307902,0.8768956,0.69267386,0.0,0.29430604,0.604347,0.19558181,0.48871988,0.22339135,0.2603067,0.18637411,0.59749854,0.18771383,0.20158371,0.5037889,0.5076346,0.13409737,0.15117882,0.0901612,0.69267386,0.65804017,0.15789755,0.36512586,0.32189724,0.31042144
Rachel Duran,0.2898477,0.303763,0.2898477,0.2738086,0.31665266,0.23439278,0.10142374,0.26327989,0.31441188,0.1760198,0.15938017,0.29435125,0.27588612,0.21309634,0.4048936,0.3198319,0.29435125,0.0,0.27904832,0.13066609,0.22565919,0.41728398,0.18926772,0.13551171,0.27588612,0.0866741,0.14657053,0.36630246,0.26548123,0.097501546,0.06980459,0.065555766,0.3198319,0.3038403,0.53650796,0.26548123,0.39503205,0.15378003
Lindsey Sanders,0.7980769,0.6912852,0.7980769,0.6231168,0.27810812,0.839972,0.24331158,0.5991562,0.49446094,0.40057507,0.38234678,0.43061325,0.66184,0.48495156,0.59232825,0.679036,0.43061325,0.28851154,0.0,0.29736188,0.47909763,0.36964086,0.43072388,0.30838925,0.839972,0.31060606,0.33355623,0.8336086,0.839972,0.22188804,0.1482023,0.14918779,0.679036,0.6450842,0.15783079,0.6041659,0.3155595,0.5136477
Barry Vaughn,1.0,0.5767184,0.81971157,0.94722223,0.25980553,0.3518582,0.2570242,0.49985796,0.41251385,0.60892856,0.4038952,0.3367388,0.31561467,0.7371923,0.46319965,0.69744366,0.3367388,0.29633266,0.4130866,0.0,0.49208525,0.30838022,0.35933992,0.25727984,0.3518582,0.13667844,0.2782759,0.69545454,0.5040374,0.1851145,0.37037036,0.22678572,0.69744366,0.6625715,0.15898484,0.5040374,0.32411385,0.43853235
Jamie Key,0.2949632,0.50647706,0.2949632,0.4565328,0.5279685,0.30900368,0.15607043,0.4389778,0.3622718,0.29348537,0.24525353,0.17725767,0.2434736,0.35530466,0.24382605,0.32547665,0.17725767,0.6021978,0.2251412,0.21786518,0.0,0.2708211,0.3155742,0.22594447,0.30900368,0.12003171,0.24438332,0.61075175,0.44264823,0.16256851,0.08069081,0.109303944,0.5382653,0.511352,0.32308394,0.44264823,0.65865386,0.256404
James Harper,0.23067759,0.47730115,0.23067759,0.43023396,0.111722566,0.18654336,0.1470799,0.1330623,0.7534722,0.27657896,0.23112556,0.23426178,0.21956617,0.3348371,0.3222378,0.25454077,0.23426178,0.3528237,0.22208282,0.18411078,0.17959267,0.0,0.36707622,0.06848795,0.21956617,0.06898027,0.07407711,0.18513015,0.18654336,0.18909986,0.068189174,0.10300741,0.25454077,0.24181372,0.42698413,0.13417485,0.13937667,0.29824942
Shaun Holmes,0.46264443,0.8814363,0.46264443,0.79451686,0.1901685,0.2756595,0.3927109,0.2198165,0.6840278,0.5223214,0.6171171,0.24648093,0.26855233,0.61834663,0.33904582,0.5105042,0.24648093,0.21690506,0.23366672,0.34769455,0.36018908,0.5113541,0.0,0.11314086,0.2756595,0.07913961,0.12237404,0.30583167,0.2756595,0.5151515,0.12877576,0.19453028,0.5105042,0.48497897,0.21834008,0.22165444,0.23723991,0.8125
Eric Wallace,0.17683052,0.30363312,0.17683052,0.27369153,0.12215341,0.1852478,0.09356426,0.59375,0.21718204,0.17594455,0.14702956,0.09420919,0.14596249,0.21300523,0.12958905,0.19512334,0.09420919,0.082904786,0.13497221,0.13061024,0.13767035,0.16235733,0.18918681,0.0,0.1852478,0.16235177,0.33054653,0.36614585,0.26536775,0.09745987,0.048374165,0.06552774,0.19512334,0.18536717,0.069324,0.26536775,0.09067711,0.15371428
John Stuart,0.31369945,0.44398686,0.31369945,0.4002048,0.17861854,0.5394829,0.2896663,0.3848158,0.31757393,0.2572745,0.45518988,0.1911739,0.787931,0.3114664,0.23282598,0.28531864,0.1911739,0.12122733,0.39306918,0.19098452,0.20130815,0.23740663,0.31746578,0.19806698,0.0,0.12208967,0.21423079,0.5353959,0.5394829,0.16354297,0.07073501,0.09581779,0.28531864,0.2710527,0.10136886,0.38803336,0.1325924,0.32989687
Roy Vasquez,0.52710825,0.45657519,0.52710825,0.4115518,0.18368289,0.5547788,0.21607119,0.39572647,0.32657808,0.5119048,0.33954045,0.28440842,0.43712744,0.3202974,0.3912168,0.44848496,0.28440842,0.19055408,0.660473,0.3407605,0.31643105,0.24413781,0.28448147,0.20368275,0.5547788,0.0,0.24805194,0.550576,0.5547788,0.14655106,0.12620759,0.19065075,0.44848496,0.4260607,0.104242966,0.39903525,0.20841853,0.3686587
Alexandra Christensen,0.33105278,0.5113821,0.2978198,0.7736111,0.20573203,0.31199628,0.20991567,1.0,0.36578026,0.49732143,0.32986748,0.15866809,0.24583155,0.6020764,0.21825522,0.32862875,0.15866809,0.13962911,0.324399,0.33105278,0.23186584,0.2734439,0.3186304,0.5147059,0.31199628,0.4911616,0.0,0.6166667,0.44693512,0.16414292,0.12261213,0.18521942,0.32862875,0.3121973,0.11675621,0.44693512,0.15271933,0.3581562
Samuel Roberson,0.48295102,0.8292683,0.48295102,0.7474932,0.3336195,0.5059399,0.25553823,0.71875,0.5931572,0.48053133,0.4015601,0.2572996,0.39864576,0.5817497,0.35392737,0.5329115,0.2572996,0.22642559,0.36862963,0.35671642,0.37599868,0.44342256,0.51669794,0.36994487,0.5059399,0.19653109,0.40013528,0.0,0.72475964,0.2661777,0.1321172,0.17896622,0.5329115,0.5062659,0.18933439,0.72475964,0.24765298,0.4198171
Emily Benitez,0.29764876,0.4212699,0.29764876,0.379728,0.19972908,0.5118798,0.14827433,0.36512637,0.301325,0.24411084,0.23300251,0.18139233,0.40332597,0.29552996,0.22091325,0.31903985,0.18139233,0.13555494,0.37295747,0.18121263,0.22510034,0.22525951,0.26248354,0.1879327,0.5118798,0.11584285,0.2032695,0.5080019,0.0,0.13521878,0.06963172,0.09091519,0.31903985,0.30308786,0.096182235,0.43389422,0.14826322,0.3130174
Thomas Ruiz,0.30012575,0.5718035,0.30012575,0.51541734,0.123365715,0.17882527,0.2547586,0.14259891,0.4437411,0.3388393,0.40033492,0.1598966,0.17421472,0.40113255,0.2199451,0.3311732,0.1598966,0.1407102,0.15158379,0.2255557,0.2336611,0.33172458,0.64871794,0.073396504,0.17882527,0.051339287,0.079386234,0.19839849,0.17882527,0.0,0.08353914,0.12619528,0.3311732,0.31461453,0.14164113,0.14379121,0.15390179,0.52708334
Justin Johnson,0.9824627,0.56660426,0.80533606,0.93061054,0.28251368,0.34568754,0.2525167,0.49109176,0.40527946,0.5982496,0.39681196,0.36617127,0.3432008,0.7242639,0.50368536,0.75840336,0.36617127,0.32223344,0.40584219,0.9824627,0.5350957,0.30297205,0.35303807,0.25276783,0.34568754,0.13428146,0.2733957,0.6832581,0.4951979,0.18186808,0.0,0.22280851,0.75840336,0.7204832,0.17288081,0.4951979,0.35244283,0.43084168
Jessica Oconnor,0.43585643,0.2695224,0.35727656,0.4219577,0.11323792,0.15998097,0.27637014,0.21786632,0.20718762,0.6547619,0.43429592,0.14676978,0.1889936,0.32839596,0.20188855,0.3039853,0.14676978,0.1291585,0.18004645,0.43585643,0.21447852,0.15488587,0.30289358,0.11213708,0.1889936,0.09920635,0.121288344,0.30311835,0.21968794,0.15603608,0.1614283,0.0,0.3039853,0.28878602,0.069294564,0.21968794,0.1412671,0.47154018
Brooke Franklin,0.5235688,0.3573477,0.5235688,0.32210925,0.37251115,0.22212023,0.110116355,0.30972323,0.25560287,0.20707023,0.17303999,0.27893934,0.26144102,0.25068718,0.3836938,0.5777311,0.27893934,0.42488402,0.26443765,0.16312683,0.70555556,0.19107933,0.22265512,0.15941638,0.26144102,0.084689036,0.17242602,0.4309193,0.31231293,0.11470111,0.1260921,0.07712,0.0,0.95,0.22795366,0.31231293,0.46471688,0.18090728
Matthew Gill,0.3352443,0.2288119,0.3352443,0.2062485,0.23852116,0.14222494,0.070508175,0.19831768,0.16366407,0.13258833,0.11079856,0.17860657,0.16740228,0.16051652,0.2456815,0.36992472,0.17860657,0.2720558,0.16932105,0.104451105,0.45177153,0.12234926,0.14256743,0.10207528,0.16740228,0.05422691,0.11040542,0.27592024,0.19997586,0.07344382,0.080737546,0.049380407,0.6403061,0.0,0.14596012,0.19997586,0.29756105,0.11583603
Sean Boone,0.54024863,0.37123424,0.54024863,0.3346264,0.2616551,0.43688592,0.18904424,0.3116329,0.58603394,0.21511698,0.29706952,0.5486428,0.5142256,0.26042888,0.7546833,0.5961364,0.5486428,0.82631576,0.5201196,0.16832371,0.42060736,0.7777778,0.28550372,0.16039929,0.5142256,0.16155231,0.17348914,0.4335762,0.43688592,0.14707766,0.13010913,0.080116875,0.5961364,0.56632954,0.0,0.31423852,0.3264212,0.26715824
Kyle Murray,0.66636026,0.8292683,0.66636026,0.7474932,0.46031746,0.5118798,0.25553823,0.71875,0.5931572,0.48053133,0.4015601,0.3550137,0.40332597,0.5817497,0.4883376,0.7352941,0.3550137,0.3124147,0.37295747,0.35671642,0.51879084,0.44342256,0.51669794,0.36994487,0.5118798,0.19653109,0.40013528,1.0,1.0,0.2661777,0.16048086,0.17896622,0.7352941,0.69852936,0.18933439,0.0,0.3417036,0.4198171
Sharon Smith,0.44782734,0.76895785,0.44782734,0.6931301,0.8015873,0.46914428,0.23695363,0.66647726,0.5500185,0.4455836,0.37235573,0.26912114,0.36965334,0.53944063,0.37018844,0.4941543,0.26912114,0.9142857,0.3418202,0.3307734,0.5708333,0.41117364,0.47911993,0.34303978,0.46914428,0.18223792,0.37103453,0.92727274,0.6720499,0.24681933,0.122508675,0.1659505,0.4941543,0.46944657,0.49052158,0.6720499,0.0,0.38928494
Andrea Cole,0.42793176,0.34127405,0.3507806,0.41428572,0.11233069,0.33927324,0.2713452,0.24200529,0.26484153,0.64285713,0.42639962,0.14410122,0.2673239,0.32242513,0.19821784,0.29845828,0.14410122,0.12681016,0.2471957,0.42793176,0.2105789,0.19798581,0.3871795,0.12456155,0.33927324,0.0974026,0.13472675,0.336703,0.33927324,0.1994561,0.15849324,0.23942187,0.29845828,0.28353536,0.084536806,0.24402875,0.13869861,0.0
