,Linda Gomez,Jessica Ramirez,Brooke Franklin,Earl Carney,Jessica Oconnor,Kathleen Duncan,Melissa Chen,Michael Rice,Roy Vasquez,Alexandra Christensen,Robert Gill,Melissa Gray,Sharon Smith,Kyle Murray,Matthew Gill,Justin Johnson,William Berger PhD,Jamie Key,Andrea Cole,Kelly Collins,Benjamin Carpenter,Eric Vargas,James Harper,Isaac Shaw,Eric Wallace,John Stuart,Samuel Roberson,Rachel Duran,Thomas Ruiz,Emily Benitez,Lindsey Sanders,Sean Boone,Philip Sims,Karen Edwards,Barry Vaughn,Shaun Holmes,Dylan Wall,Jason Mccall
Robert Gill,0.2580287355449104,0.8768956289027654,0.6926738581248736,0.21965778594066143,0.09016119025519927,0.29882598030665053,0.6277356839256667,0.4177761278073561,0.18771383702249003,0.20158369725606579,0.0,0.24208634548836971,0.32189723444216545,0.3651258204108196,0.6580401652186298,0.15117881824153986,1.0,0.4887198887881052,0.3104214278119558,0.6926738581248736,0.2930790012401752,0.3451765207638966,0.22339135174970856,0.3620982431271477,0.18637409572720837,0.5974985388661601,0.5037888600029882,0.29430604291855134,0.13409737249201154,0.5076345764915606,0.6043469874870411,0.15789752778804816,0.3765787596485751,0.6277356839256667,0.19558182689475062,0.26030666424919885,0.5974985388661601,0.5076345764915606
Melissa Gray,0.17294517557798297,0.3083388614055518,0.4642684535065461,0.42209254709254707,0.3724340175953079,0.3164319768486435,0.6656716417910448,0.41163419517078054,0.1515151515151515,0.18524037538106394,0.22415745797419478,0.0,0.2157533873547114,0.3355233828671329,0.4410550308312187,0.24654505251520176,0.22415745797419478,0.32756718664072976,0.7201704545454546,0.4642684535065461,0.5015501519756838,0.6632882882882882,0.23655294955449274,0.33274126526458614,0.17126388653324282,0.28864476545511025,0.462944369063772,0.19726023986716473,0.23830963830963828,0.3355233828671329,0.2749800447153525,0.10583168424619316,0.6444444444444444,0.5456587256027554,0.6656716417910448,0.46260106260106254,0.28864476545511025,0.24433456022489045
Sharon Smith,0.8015873015873016,0.37018842505780186,0.4941542832167833,0.23695364382725803,0.16595049914680124,0.5500184774575019,0.44782731916520985,0.7689578713968959,0.18223792119840673,0.37103453364816996,0.269121109010275,0.4455836236933797,0.0,0.6720498251748251,0.46944656905594406,0.12250866877732548,0.269121109010275,0.5708333333333333,0.38928492239467855,0.4941542832167833,0.5394405997479427,0.37235572601426264,0.41117365712466275,0.6664772727272728,0.34303977272727265,0.46914427291785776,0.9272727272727272,0.9142857142857144,0.24681934473508754,0.6720498251748251,0.3418202078579437,0.4905215419501134,0.693130081300813,0.44782731916520985,0.33077340569877883,0.4791199044857582,0.3696533322818293,0.46914427291785776
Kyle Murray,0.46031746031746035,0.48833761872277903,0.7352941176470589,0.2555382433431214,0.1789662245700798,0.5931571815718157,0.6663602941176471,0.8292682926829269,0.19653109148847786,0.40013528138528137,0.35501369742068695,0.4805313588850174,0.3417035884866767,0.0,0.698529411764706,0.1604808590102708,0.35501369742068695,0.5187908496732027,0.41981707317073175,0.7352941176470589,0.5817496663948402,0.40156009668204795,0.44342257140895003,0.71875,0.3699448529411764,0.5118798043326345,1.0,0.31241470947353306,0.2661777247143101,1.0,0.37295747004866503,0.18933439953810724,0.7474932249322493,0.6663602941176471,0.3567164179104478,0.5166979362101314,0.4033259837586447,0.5118798043326345
Matthew Gill,0.23852117009934826,0.24568151699956137,0.6403061224489797,0.0705081783020565,0.04938040704572581,0.1636640832004712,0.33524430977748243,0.22881192214434812,0.054226909676141744,0.11040543049744025,0.17860656315206208,0.13258833702828743,0.2975610636882958,0.19997586083055424,0.0,0.08073754586868762,0.17860656315206208,0.4517715419501134,0.11583603558557623,0.3699247556165323,0.16051651865765007,0.11079856590323163,0.12234927077462128,0.1983176861968017,0.1020752796601185,0.16740230261763217,0.27592025905641976,0.2720558296578705,0.07344382675822082,0.19997586083055424,0.16932104549969773,0.14596011178469878,0.2062485242662249,0.33524430977748243,0.10445111890455143,0.1425674284130169,0.16740230261763217,0.14222494527647567
Justin Johnson,0.28251370838577594,0.5036853724540663,0.7584033613445378,0.2525166975510958,0.22280850213219613,0.4052794732683589,0.9824626865671642,0.5666043121421717,0.13428146824125137,0.27339568855288193,0.3661712707681942,0.5982496002132196,0.35244284412482935,0.49519790756118887,0.7204831932773108,0.0,0.3661712707681942,0.535095704948646,0.4308416865171908,0.7584033613445378,0.7242638777049403,0.39681195329457913,0.30297208186825664,0.4910917889246947,0.25276783253476925,0.3456875570688581,0.6832581411126187,0.3222334574855583,0.18186809739388585,0.49519790756118887,0.4058421848293291,0.17288080734939476,0.9306104892205638,0.8053360002870263,0.9824626865671642,0.35303807141166077,0.34320079171352935,0.3456875570688581
William Berger PhD,0.2580287355449104,0.8768956289027654,0.6926738581248736,0.21965778594066143,0.09016119025519927,0.29882598030665053,0.6277356839256667,0.4177761278073561,0.18771383702249003,0.20158369725606579,0.9226190476190477,0.24208634548836971,0.32189723444216545,0.3651258204108196,0.6580401652186298,0.15117881824153986,0.0,0.4887198887881052,0.3104214278119558,0.6926738581248736,0.2930790012401752,0.3451765207638966,0.22339135174970856,0.3620982431271477,0.18637409572720837,0.5974985388661601,0.5037888600029882,0.29430604291855134,0.13409737249201154,0.5076345764915606,0.6043469874870411,0.15789752778804816,0.3765787596485751,0.6277356839256667,0.19558182689475062,0.26030666424919885,0.5974985388661601,0.5076345764915606
Jamie Key,0.5279685592185592,0.2438260299659561,0.5382653061224489,0.15607042886699207,0.10930393453419122,0.36227178563306617,0.29496318618093154,0.5064770595258401,0.12003170771241214,0.24438332264326582,0.17725765353080616,0.29348536752881266,0.6586538461538461,0.44264820215841855,0.5113520408163265,0.08069080587737304,0.17725765353080616,0.0,0.2564040113849565,0.3254766192341313,0.35530462579551997,0.24525353107670184,0.2708211107023019,0.4389778190559441,0.2259444656905594,0.3090036797583967,0.6107517482517483,0.6021978021978023,0.16256851071493747,0.44264820215841855,0.22514119459874177,0.3230839002267574,0.4565327939337086,0.29496318618093154,0.21786517586890722,0.31557416785840803,0.24347358905101257,0.3090036797583967
Andrea Cole,0.11233068292571045,0.19821783947499758,0.2984582915399224,0.2713452088452088,0.2394218684541265,0.2648415242165242,0.42793176972281444,0.34127406017649914,0.09740259740259738,0.13472674313229036,0.1441012229834109,0.6428571428571428,0.13869860615660015,0.2440287249765434,0.2835353769629263,0.1584932480454868,0.1441012229834109,0.21057890569761195,0.0,0.2984582915399224,0.3224250976986538,0.42639961389961384,0.19798581781098837,0.24200526954556043,0.12456153579550902,0.3392732354996506,0.33670298371556234,0.12681015420032016,0.19945609945609943,0.3392732354996506,0.2471957019912995,0.08453680157326328,0.4142857142857142,0.35078060931605703,0.42793176972281444,0.38717948717948714,0.26732391141955225,0.3392732354996506
Kelly Collins,0.37251115011531677,0.6641391614629795,1.0,0.16636339942301367,0.07711999825467934,0.25560287097444107,0.90625,0.3573477031098982,0.1421698389249683,0.17242601097608198,0.48281862849213425,0.20707023153421777,0.4647168803418803,0.3123128981895508,0.95,0.21825396825396826,0.48281862849213425,0.7055555555555555,0.26875,0.0,0.25068715264461683,0.2614281990933072,0.1910793392177352,0.30972323900058274,0.15941637301500577,0.45253068381063705,0.430919289044289,0.4248840048840049,0.1703962703962704,0.38446993102539867,0.45771753019745887,0.22795364071554547,0.3221092490532277,0.90625,0.28235774253731344,0.33076923076923076,0.45253068381063705,0.38446993102539867
Benjamin Carpenter,0.10623775071218952,0.18940815772055322,0.2851934785825926,0.25928542178542174,0.22878089652283198,0.2968262780621634,0.408912579957356,0.4149804275820536,0.09307359307359306,0.11379051630551071,0.13769672418414822,0.6142857142857142,0.13253422366075127,0.20610722090409592,0.2709338046534629,0.15144910368790962,0.13769672418414822,0.20121984322216255,0.44239042207792206,0.2851934785825926,0.0,0.4074485199485199,0.22189644763516503,0.2043982058053886,0.10520495887042058,0.1773103559224249,0.2843801124248885,0.1211741473469726,0.14639020639020636,0.20610722090409592,0.16891631318228795,0.09474626097437998,0.9555555555555556,0.33519036001312114,0.408912579957356,0.28416922416922413,0.1773103559224249,0.15009122985243267
Eric Vargas,0.13263034355754133,0.23646273441099486,0.356043956043956,0.6363636363636364,0.18621700879765396,0.4770655270655271,0.3328358208955224,0.6205962059620597,0.07575757575757575,0.09322732744134218,0.17190465454005657,0.5,0.16545963651732878,0.16886139544056755,0.3382417582417582,0.12327252625760088,0.17190465454005657,0.25120879120879114,0.5666666666666667,0.356043956043956,0.43536167844581175,0.0,0.35663670493105193,0.16746121803227096,0.08619327398719827,0.43517241379310345,0.2329895207405509,0.15127738195870064,0.35928515928515925,0.23476806670040243,0.1710528594089644,0.1522782121054809,0.559398524540801,0.32266483516483513,0.3328358208955224,0.6974358974358974,0.43517241379310345,0.23476806670040243
James Harper,0.11172257699813568,0.3222377978845418,0.2545407815222432,0.1470799061680244,0.10300742140450918,0.7534722222222222,0.23067758325453286,0.4773011705811503,0.06898026570194278,0.07407710171220579,0.2342617641763812,0.2765789818813986,0.13937668021549596,0.13417485096509207,0.24181374244613102,0.06818917961255046,0.2342617641763812,0.17959266251847156,0.2982494212962963,0.2545407815222432,0.3348371078521613,0.23112556683546695,0.0,0.133062290011816,0.0684879433884347,0.21956616848960506,0.1851301426251353,0.35282372598162065,0.18909986618319952,0.18654334982074702,0.22208280665015723,0.42698412698412697,0.43023397181550904,0.23067758325453286,0.18411078495388625,0.36707621082621084,0.21956616848960506,0.18654334982074702
Isaac Shaw,0.20573202838827842,0.21825522057940555,0.3286287471719458,0.15758191672825822,0.1103625051515492,0.36578026196928637,0.29781980212457587,0.5113821138211383,0.2734345620709257,0.5567099567099567,0.15866808099264718,0.2963276713124274,0.15271932617640716,0.4469350961538462,0.3121973098133485,0.0814722682881887,0.15866808099264718,0.23186583828242838,0.25888719512195124,0.3286287471719458,0.35874562761015144,0.2476287262872629,0.2734439190355192,0.0,0.5147058823529411,0.31199627300256233,0.6166666666666667,0.13962909821842942,0.16414293024049123,0.4469350961538462,0.22732160882056063,0.11675621304849947,0.4609541553748871,0.29781980212457587,0.21997512437810948,0.3186303939962477,0.2458315461416741,0.31199627300256233
Eric Wallace,0.1221533918555403,0.12958903721902204,0.19512331863334278,0.09356426305740331,0.06552773743373234,0.2171820305442638,0.17683050751146692,0.30363313008130083,0.16235177122961214,0.3305465367965368,0.09420917308938426,0.17594455484175375,0.09067709991724175,0.2653677133413462,0.18536715270167564,0.04837415929611203,0.09420917308938426,0.13767034148019186,0.15371427210365854,0.19512331863334278,0.2130052163935274,0.14702955623306235,0.1623573269273395,0.59375,0.0,0.18524778709527137,0.36614583333333334,0.08290477706719246,0.09745986483029166,0.2653677133413462,0.13497220523720788,0.06932400149754656,0.2736915297538392,0.17683050751146692,0.13061023009950248,0.18918679643527206,0.14596248052161898,0.18524778709527137
John Stuart,0.17861851126395153,0.2328259846087033,0.28531861586280294,0.28966629246801656,0.09581778065360792,0.31757391571226345,0.31369943358937075,0.4439868336171451,0.12208966637687813,0.21423078413620628,0.19117389327032935,0.2572745134085063,0.1325923770672251,0.388033317573412,0.27105268506966274,0.07073500118060684,0.19117389327032935,0.20130813452542207,0.3298968458166572,0.28531861586280294,0.31146637899880875,0.4551898881640261,0.23740662120010342,0.38481579421044826,0.1980669529024366,0.0,0.5353958875971455,0.12122731617574867,0.16354297147400595,0.5394828791055206,0.3930691697987296,0.10136885889337749,0.40020479863545433,0.31369943358937075,0.19098450318763846,0.3174657681554233,0.7879310344827586,0.5394828791055206
Samuel Roberson,0.33361950549450553,0.3539273847233603,0.5329114819004526,0.2555382433431214,0.1789662245700798,0.5931571815718157,0.48295103047228516,0.8292682926829269,0.19653109148847786,0.40013528138528137,0.2572995907988873,0.4805313588850174,0.24765296136714673,0.7247596153846154,0.5062659078054299,0.13211719181868437,0.2572995907988873,0.3759986566742082,0.41981707317073175,0.5329114819004526,0.5817496663948402,0.40156009668204795,0.44342257140895003,0.71875,0.3699448529411764,0.5059399021663172,0.0,0.22642556467853417,0.2661777247143101,0.7247596153846154,0.3686296359252334,0.18933439953810724,0.7474932249322493,0.48295103047228516,0.3567164179104478,0.5166979362101314,0.398645750500012,0.5059399021663172
Rachel Duran,0.31665267602767605,0.4048935899069708,0.3198319113550862,0.1014237345575744,0.06555576608924119,0.314411865569273,0.28984766966554687,0.3037630052873955,0.08667408850281287,0.14657053292351585,0.2943512129799883,0.1760198128852854,0.39503205128205127,0.2654812210025551,0.3038403157873319,0.06980458382749898,0.2943512129799883,0.22565918190053302,0.153780021426744,0.3198319113550862,0.21309632666324976,0.1593801543047598,0.41728395061728396,0.26327988417832165,0.13551170509178317,0.2758861150538532,0.3663024475524475,0.0,0.0975015520467934,0.2654812210025551,0.2790482849358853,0.5365079365079365,0.2738085978215551,0.28984766966554687,0.13066609696273873,0.18926771867906952,0.2758861150538532,0.23439275925432151
Thomas Ruiz,0.12336572397080134,0.21994511693375626,0.3311732385261797,0.25475860475860473,0.12619527649769585,0.4437410968660969,0.30012574741435033,0.5718035577791676,0.051339285714285705,0.0793862424924205,0.15989660881850853,0.3388392857142857,0.15390179426060363,0.14379122574856482,0.3146145765998707,0.083539149490642,0.15989660881850853,0.2336611182934712,0.5270833333333333,0.3311732385261797,0.40113257906582206,0.4003349503349503,0.3317245821601329,0.14259892702759827,0.07339650655832262,0.17882526787794084,0.19839850716883237,0.14071021189540905,0.0,0.17882526787794084,0.1515837968056969,0.14164113111281865,0.5154173736092774,0.30012574741435033,0.22555570362473346,0.6487179487179487,0.1742147266630025,0.17882526787794084
Emily Benitez,0.19972909035409037,0.22091325612159993,0.31903987556561086,0.14827432511028799,0.09091518695436243,0.3013249912684365,0.2976487501349923,0.42126989070538695,0.11584285054541868,0.2032694940152475,0.18139232748771533,0.24411085631053223,0.14826321567751236,0.4338942307692308,0.3030878817873303,0.06963171887344681,0.18139232748771533,0.22510035664906985,0.31301740875738515,0.31903987556561086,0.2955299515759422,0.23300251088759547,0.22525952076305145,0.36512638505071676,0.1879326981878689,0.5118798043326345,0.5080019270270842,0.13555494004801133,0.1352187970865543,0.0,0.37295747004866503,0.09618223981787435,0.37972799870527235,0.2976487501349923,0.18121262770070617,0.2624835472856642,0.4033259837586447,0.5118798043326345
Lindsey Sanders,0.2781080965534582,0.5923282783229259,0.6790360374919199,0.2433115887816603,0.1491877880124828,0.494460941303291,0.7980769230769231,0.6912851994919798,0.3106060606060606,0.3335562208960102,0.43061325630460323,0.40057508434847744,0.31555950898295704,0.6041658649264782,0.6450842356173239,0.14820230977006188,0.43061325630460323,0.47909764867485455,0.5136476796264532,0.6790360374919199,0.4849515382857099,0.3823467823711805,0.36964087912244076,0.5991561977214492,0.3083892194154518,0.8399720475192173,0.8336086229167989,0.2885115510701322,0.2218880465502229,0.8399720475192173,0.0,0.1578307880697406,0.6231167978754094,0.7980769230769231,0.29736188190614177,0.4307238550680797,0.6618400443384177,0.8399720475192173
Sean Boone,0.26165510598076386,0.7546833184656556,0.5961364028216104,0.18904423896826,0.08011688331461825,0.5860339506172839,0.5402486150570844,0.37123424378533915,0.16155229513837902,0.17348912296910649,0.5486427934242385,0.2151169859077545,0.32642122132253704,0.3142384985427807,0.5663295826805299,0.13010913553646258,0.5486427934242385,0.42060735087969175,0.2671582176286008,0.5961364028216104,0.26042886166279217,0.2970695183786943,0.7777777777777778,0.31163287251837946,0.16039927261975412,0.5142255990648743,0.43357617046035407,0.8263157894736841,0.1470776736980441,0.4368859122195934,0.5201195843479519,0.0,0.3346264225231737,0.5402486150570844,0.16832372894502443,0.28550371953149734,0.5142255990648743,0.4368859122195934
Philip Sims,0.11117904144298904,0.19821783947499758,0.2984582915399224,0.2713452088452088,0.2394218684541265,0.3106321514604035,0.42793176972281444,0.4342818428184282,0.09740259740259738,0.11908309845925538,0.1441012229834109,0.6428571428571428,0.13869860615660015,0.21569360327172826,0.2835353769629263,0.1584932480454868,0.1441012229834109,0.21057890569761195,0.46296672077922074,0.2984582915399224,0.7782674772036473,0.42639961389961384,0.23221721264145176,0.21390509909866248,0.11009821277137037,0.1855573492211423,0.29760709439813915,0.12681015420032016,0.15319905319905316,0.21569360327172826,0.17677288588844087,0.09915306381039765,0.0,0.35078060931605703,0.42793176972281444,0.2973863973863973,0.1855573492211423,0.15707221728742954
Karen Edwards,0.3169475121779481,0.5650763873792157,0.8508403361344538,0.14154869068554735,0.07518190893647077,0.2491793594968724,1.0,0.3483672598791226,0.15652726590226587,0.16809280276009522,0.41080156415822344,0.20186638541209867,0.39539986667744015,0.3044642168407645,0.808298319327731,0.18569927971188474,0.41080156415822344,0.6003151260504201,0.2588483520640065,0.8508403361344538,0.24438717723294498,0.22243365679157442,0.1862773574406444,0.30193963792832035,0.1554101077572237,0.4232967243973532,0.42008993103070663,0.3615084495336596,0.14498001998001997,0.4232967243973532,0.5039414414414414,0.19395215228948723,0.3140143773077091,0.0,0.31156716417910446,0.281431803490627,0.38503135912459663,0.4232967243973532
Barry Vaughn,0.25980553281894303,0.4631996348469052,0.6974436409179056,0.25702421171171164,0.22678571428571426,0.4125138580931264,1.0,0.5767184035476719,0.13667844089880504,0.27827590023612747,0.33673878215854375,0.6089285714285714,0.32411383302165164,0.5040373688811189,0.6625714588720102,0.37037037037037035,0.33673878215854375,0.4920852355365223,0.43853236607142854,0.6974436409179056,0.7371922492401215,0.40389518983268974,0.3083802428434971,0.4998579545454545,0.2572798295454545,0.35185820468839335,0.6954545454545454,0.29633264733408154,0.18511450855131564,0.5040373688811189,0.4130866142584892,0.15898481714114218,0.9472222222222222,0.8197115384615384,0.0,0.3593399283643186,0.3156146477439602,0.35185820468839335
Shaun Holmes,0.19016850730676885,0.3390458324275294,0.5105042016806722,0.39271089271089266,0.19453026811897778,0.6840277777777778,0.4626444327731092,0.8814363143631436,0.07913961038961037,0.1223740496918735,0.24648093849493408,0.5223214285714285,0.23723992000646407,0.22165445866379554,0.4849789915966386,0.12877576403695803,0.24648093849493408,0.36018907563025204,0.8125,0.5105042016806722,0.6183466633820972,0.617117117117117,0.511354098982023,0.21981652782910405,0.11314085991203882,0.2756595038434661,0.3058316908926665,0.21690506972019577,0.5151515151515151,0.2756595038434661,0.23366672234870273,0.21834008353359394,0.7945169000301113,0.4626444327731092,0.34769456289978673,0.0,0.2685523454488971,0.2756595038434661
Dylan Wall,0.17861851126395153,0.2328259846087033,0.28531861586280294,0.3676289926289926,0.10757806927161767,0.31757391571226345,0.31369943358937075,0.4439868336171451,0.12208966637687813,0.21423078413620628,0.19117389327032935,0.28885135135135137,0.1325923770672251,0.388033317573412,0.27105268506966274,0.07121487158800592,0.19117389327032935,0.20130813452542207,0.3298968458166572,0.28531861586280294,0.31146637899880875,0.5777027027027027,0.23740662120010342,0.38481579421044826,0.1980669529024366,1.0,0.5353958875971455,0.12122731617574867,0.20756000756000756,0.5394828791055206,0.3930691697987296,0.10136885889337749,0.40020479863545433,0.31369943358937075,0.192280153287616,0.40291060291060293,0.0,0.5394828791055206
Jason Mccall,0.33109208499833503,0.4315725181024021,0.528874273704237,0.28966629246801656,0.17761041983848827,0.588663566559908,0.5814817221067222,0.8229859571322987,0.22630869505869508,0.3971039534959989,0.3543650793650794,0.47689096980255513,0.24577680256891077,0.7192690122377623,0.5024305600190251,0.13111630400187615,0.3543650793650794,0.3731501820024339,0.6115056818181819,0.528874273704237,0.577342471952455,0.4551898881640261,0.44006330950433675,0.7133049242424242,0.36714224041889476,1.0,0.9924242424242424,0.22471021949157557,0.2641612267998078,1.0,0.7286036036036037,0.1879000480264549,0.7418303974706414,0.5814817221067222,0.3540140208050656,0.5127835579055092,0.7879310344827586,0.0
